Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,Talk time_1,SAR EU,Music play,SAR,Browser,Keyboard,Build,Triple,Dual,32GB 3GB RAM,Quad,64GB 4GB RAM,128GB 4GB RAM,128GB 6GB RAM,32GB 2GB RAM,16GB 2GB RAM,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Alert types,Clock,Alarm,Languages
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview Viva Home',b'https://fdn2.gsmarena.com/vv/bigpic/allview-vivahome.jpg',b'No cellular connectivity',b'N/A',b'No',b'No',"b'2019, July'","b'Available. Released 2019, July'",b'418.5 x 266.3 x 19.5 mm (16.48 x 10.48 x 0.77 in)',b'2018.3 g (4.45 lb)',b'No',b'No',b'IPS LCD',"b'17.3 inches, 825.1 cm2 (~74.0% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~127 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT8163',b'Quad-core 1.5 GHz Cortex-A53',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',b'2 MP',b'1080p',,,b'Yes',b'Yes',b'Wi-Fi 802.11 a/b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB'",b'Accelerometer',"b'Li-Po 5000 mAh, non-removable'",,b'Black',b'About 250 EUR',b'N/A',b'N/A',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview Viva 1003G',b'https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',,,"b'2019, August'","b'Available. Released 2019, August'",b'246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in)',b'479.4 g (1.06 lb)',b'Mini-SIM',,b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~70.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT8321A (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',b'2 MP',b'720p@30fps',b'2 MP',b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 4000 mAh, non-removable'",b'Up to 11 h',b'Black',,b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',b'Mali-400',b'LED flash',,,,b'Up to 400 h',,,,,,,,b'Charging 10W',,,b'1.05 W/kg (body)',,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview Viva 1003G Lite',b'https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g-lite.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',,,"b'2019, September'","b'Available. Released 2019, September'",b'246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in)',b'505.2 g (1.11 lb)',b'Mini-SIM',,b'IPS LCD',"b'10.1 inches, 295.8 cm2 (~70.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'Android 8.1 Oreo (Go edition)',b'Mediatek MT8321A (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'microSDXC (dedicated slot)',b'16GB 1GB RAM',b'0.3 MP',b'720p@30fps',b'2 MP',b'',b'Yes',b'Yes',b'Wi-Fi 802.11 b/g/n',"b'4.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',"b'Li-Po 4000 mAh, non-removable'",b'Up to 8 h 20 min',b'Black',b'About 100 EUR',b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',b'Mali-400',b'LED flash',,,,b'Up to 400 h',,,,,,,,b'Charging 10W',,,b'1.05 W/kg (body)',,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview V4 Viper',b'https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, September'","b'Available. Released 2019, September'",b'145.8 x 70.9 x 8.5 mm (5.74 x 2.79 x 0.33 in)',b'138 g (4.87 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'5.7 inches, 81.1 cm2 (~78.4% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~295 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'microSDXC (uses shared SIM slot)',b'16GB 2GB RAM',b'5 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 2700 mAh, non-removable'",,"b'Blue, Red'",b'About 100 EUR',b'HSDPA 900 / 2100',"b'1, 3, 7, 8, 20, 38'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',b'LED flash',,,,,,,,,,,,,,,b'1.13 W/kg (head)',,,,,,,"b'8 MP, AF 0.3 MP, (depth)'",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview Soul X6 Mini',b'https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x6-mini.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, May'","b'Available. Released 2019, May'",b'158.3 x 76.4 x 8.3 mm (6.23 x 3.01 x 0.33 in)',b'175.7 g (6.21 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'6.2 inches, 95.9 cm2 (~79.3% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'microSDXC (dedicated slot)',b'16GB 2GB RAM',b'13 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'",,b'Indigo Blue',,b'HSDPA 900 / 2100',"b'1, 3, 7, 8, 20, 38'","b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'",b'PowerVR GE8320',"b'Dual-LED dual-tone flash, panorama, HDR'",,,,,,,,,,,,b'Charging 10W',,,b'0.98 W/kg (head)',,,,,,,"b'13 MP, AF 2 MP, (depth)'",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview Soul X6 Xtreme',b'https://fdn2.gsmarena.com/vv/bigpic/allview-x6-xtr.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, April'","b'Available. Released 2019, April'",b'157 x 74.3 x 8.9 mm (6.18 x 2.93 x 0.35 in)',b'176.6 g (6.24 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'AMOLED',"b'6.39 inches, 100.2 cm2 (~85.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6771 Helio P70 (12nm)',b'Octa-core (4x2.1 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53)',b'microSDXC (uses shared SIM slot)',b'64GB 4GB RAM',b'Motorized pop-up 8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 3450 mAh, non-removable'",,b'Urban Violet',b'About 360 EUR',b'HSDPA 900 / 2100',"b'1, 3, 5, 7, 8, 20, 38'","b'HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps'",b'Mali-G72 MP3',"b'LED flash, HDR, panorama'",,,,,,,,,,,b'Corning Gorilla Glass 5',"b'Fast charging 18W, 20% in 15 min (advertised) Wireless charging'",,,b'0.97 W/kg (head)',,,,,,,"b'16 MP, f/1.8, PDAF 5 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview P10 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/allview-p10-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, April'","b'Available. Released 2019, April'",b'161.5 x 76.5 x 8.8 mm (6.36 x 3.01 x 0.35 in)',b'182 g (6.42 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'5.99 inches, 92.6 cm2 (~74.9% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~269 ppi density)'",b'Android 8.1 (Oreo)',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'microSDXC',b'32GB 3GB RAM',b'8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",b'Li-Po 3000 mAh battery',,b'Dark Green',,b'HSDPA 900 / 2100',"b'1, 3, 7, 20, 38'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",,"b'LED flash, HDR'",,b'LED flash',,,,,,,,,,,,,b'1.38 W/kg (head)',,,,,,,"b'13 MP, AF QVGA'",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview P10 Max',b'https://fdn2.gsmarena.com/vv/bigpic/allview-p10-max.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, April'","b'Available. Released 2019, April'",b'160.7 x 77.7 x 8.3 mm (6.33 x 3.06 x 0.33 in)',b'172 g (6.07 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'5.99 inches, 92.6 cm2 (~74.2% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~179 ppi density)'",b'Android 8.1 Oreo (Go edition)',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'microSDXC',b'8GB 1GB RAM',"b'13 MP, AF'",b'1080p@30fps',b'13 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",b'Li-Po 3200 mAh battery',,b'Blue Purple',,b'HSDPA 900 / 2100',"b'1, 3, 7, 20, 38'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",,"b'LED flash, HDR'",,,,,,,,,,,,,,,b'0.85 W/kg (head)',,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview P10 Mini',b'https://fdn2.gsmarena.com/vv/bigpic/allview-p10-mini.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, April'","b'Available. Released 2019, April'",b'144.2 x 72 x 9.9 mm (5.68 x 2.83 x 0.39 in)',b'152.6 g (5.40 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 8.1 Oreo (Go edition)',,b'Quad-core 1.3 GHz Cortex-A53',b'microSDXC',b'8GB 1GB RAM',"b'8 MP, AF'",b'1080p@30fps',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'Li-Po 2400 mAh battery',,b'Black',,b'HSDPA 900 / 2100',"b'1, 3, 7, 20, 38'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",,"b'LED flash, HDR'",,,,,,,,,,,,,,,b'0.72 W/kg (head)',,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview P10 Life',b'https://fdn2.gsmarena.com/vv/bigpic/allview-p10-life.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, January'","b'Available. Released 2019, January'",b'149.4 x 71.9 x 9.4 mm (5.88 x 2.83 x 0.37 in)',b'177.6 g (6.28 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",b'eMMC 5.1',b'IPS LCD',"b'5.34 inches, 73.6 cm2 (~68.5% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~201 ppi density)'",b'Android 8.1 (Oreo)',b'Mediatek MT6739 (28 nm)',b'Quad-core 1.3 GHz Cortex-A53',b'microSDXC',b'16GB 2GB RAM',"b'8 MP, AF'",b'1080p@30fps',b'5 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Po 2500 mAh battery',,b'Blue',,b'HSDPA 900 / 2100',"b'1, 3, 7, 20, 38'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'",,"b'LED flash, HDR'",,,,,,,,,,,,,,,b'0.80 W/kg (head)',,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'allview',b'Allview A10 Lite 2019',b'https://fdn2.gsmarena.com/vv/bigpic/allview-10-lite-2019.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2018, October'","b'Available. Released 2018, October'",b'145.5 x 71.8 x 9.9 mm (5.73 x 2.83 x 0.39 in)',b'152 g (5.36 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'",,b'IPS LCD',"b'5.34 inches, 73.6 cm2 (~70.4% screen-to-body ratio)'","b'480 x 960 pixels, 18:9 ratio (~201 ppi density)'",b'Android 8.1 Oreo (Go edition)',b'Mediatek MT6580M (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',b'microSDXC',b'8GB 1GB RAM',"b'8 MP, AF'",b'720p',b'2 MP',b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",b'Li-Ion 2150 mAh battery',,"b'Black, Gold'",,b'HSDPA 900 / 2100',,b'HSPA 21.1/5.76 Mbps',b'Mali-400MP2',"b'LED flash, HDR'",,b'LED flash',,,,,,,,,,,,,b'0.97 W/kg (head)',,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
